wallet_id,onboard_date,user_class,state,gender,region,last_trans_date,first_trans_date,days_since_last_txn,days_to_first_txn,tenure_days,age,total_txn_count,total_tpv,avg_tpv,txn_count_30d,tpv_30d,avg_txn_value_30d,txn_count_90d,tpv_90d,avg_txn_value_90d,txn_trend,tpv_trend,avg_days_between_txn,pos_share,transfer_share,digital_service_share,loan_share,deposit_share,total_commission,success_rate,churn_flag
3c24443b-c103-442b-8d01-82b3e21d4866,"May 12, 2023",Terminal User,Ebonyi,Male,South East,"June 21, 2024, 19:37","May 12, 2023, 12:01",510,406,916,39,"3,672","8,564,647.98","2,332.42",0,0,0,0,0,0,0,0,0.11,0.17,0.13,0.69,0,0.0087,"55,080,000",0.83,1
10a7707a-1880-4e9e-8883-50cb61485a63,"January 26, 2025",App User,Akwa Ibom,Male,South South,"February 6, 2025, 17:45","February 2, 2025, 15:21",280,4,291,0,10,"1,200",120,0,0,0,0,0,0,0,0,0.44,0,0.4,0.2,0,0.4,"2,000",0.8,1
05345902-e5d8-40f2-b801-26169b5d8950,"August 2, 2023",Terminal User,Ondo,,South West,"January 5, 2025, 11:08","August 2, 2023, 16:43",312,522,834,36,4,"2,000",500,0,0,0,0,0,0,0,0,174,0,0.25,0,0,0.75,0,1,1
ebd6819c-3af1-4d71-b035-24071c65651a,"January 30, 2025",App User,,Male,Other,,,,,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b4cee700-1a9f-4e19-a0d7-0a388154039c,"December 5, 2023",App User,Kwara,Male,South West,,,,,709,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3f5e4884-37d5-45ea-b169-b48245539876,"February 11, 2023",App User,Lagos,,Lagos,"February 11, 2023, 23:32","February 11, 2023, 23:30",,0,"1,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,1
321b8589-87b2-4df0-89cc-5b21ccd215c1,"February 3, 2025",App User,Oyo,Male,South West,,,,,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bd85b4f-97d1-45de-a14c-853204f8e2e3,"October 5, 2023",App User,Kano,Male,North,"October 15, 2023, 07:46","October 6, 2023, 15:46",760,9,770,33,6,"2,000",333.33,0,0,0,0,0,0,0,0,1.8,0,0,0.83,0,0.17,"20,880",1,1
5f1b95d0-c0ce-4af6-a880-04e3c684a754,"February 11, 2023",App User,Oyo,,South West,"February 11, 2023, 23:32","February 11, 2023, 23:30",,0,"1,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,643",0,1
63779949-ea49-4b85-85fd-c729308bd8ca,"August 30, 2023",Terminal User,FCT Abuja,Male,North,"September 4, 2024, 19:58","September 7, 2023, 12:38",435,363,806,33,88,"1,133,948","12,885.77",0,0,0,0,0,0,0,0,4.17,0.63,0.13,0,0,0.25,0,0.83,1
3695f69c-61f5-45d6-85ce-eb3feac19508,"February 11, 2023",App User,Kaduna,Female,North,"December 6, 2024, 16:51","February 11, 2023, 23:30",342,664,"1,006",0,2,200,100,0,0,0,0,0,0,0,0,387,0,0,1,0,0,"6,000",1,1
c37e3f0c-3a79-4cf2-bd14-c18827c7b087,"February 11, 2023",Terminal User,Ogun,,South West,"February 11, 2023, 23:32","February 11, 2023, 23:30",,0,"1,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,1
b1278880-43af-4831-b475-a1f98831cc5d,"September 17, 2023",App User,Akwa Ibom,Female,South South,"November 12, 2023, 18:57","November 9, 2023, 14:57",732,3,788,31,2,200,100,0,0,0,0,0,0,0,0,3,0,0.5,0.5,0,0,600,1,1
4e677f0e-d18a-475c-a49c-40371d8b9bdd,"April 10, 2023",App User,Ebonyi,,South East,,,,,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8dac216f-a9ec-47e6-9f3a-e29b8ed22448,"September 14, 2023",Terminal User,Ogun,Female,South West,"October 12, 2023, 22:03","September 28, 2023, 12:34",763,14,791,25,14,"5,792",413.71,0,0,0,0,0,0,0,0,1.08,0.29,0.21,0.071,0,0.43,"4,200",0.93,1
a9cb67bd-53b6-4f9e-93f1-78cb18b66179,"February 11, 2023",App User,FCT Abuja,,North,"February 11, 2023, 23:32","February 11, 2023, 23:30",,0,"1,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,869",0,1
46235701-f742-4021-a44a-14acb48c3fce,"December 19, 2023",App User,Lagos,Male,Lagos,,,,,695,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332f2f66-becc-4523-8dbe-75d2836aeb54,"February 11, 2023",Terminal User,Delta,Male,South South,"December 10, 2024, 13:02","January 21, 2023, 18:09",338,689,"1,006",55,"1,353","36,366,827.06","26,878.66",0,0,0,0,0,0,0,0,0.3,0.4,0.38,0.093,0,0.12,"35,178",0.84,1
